TEAM_ID,TEAM_NAME,FG3A,FGA,PTS,FTA,TOV,OREB,DREB
1610612737,Atlanta Hawks,31.0,85.5,103.4,20.2,15.5,9.1,32.8
1610612738,Boston Celtics,30.4,85.1,104.0,20.7,14.0,9.4,35.1
1610612751,Brooklyn Nets,35.7,86.8,106.6,22.6,15.2,9.7,34.8
1610612766,Charlotte Hornets,27.2,86.7,108.2,27.0,12.7,10.1,35.4
1610612741,Chicago Bulls,31.1,88.8,102.9,19.2,14.0,9.6,35.0
1610612739,Cleveland Cavaliers,32.1,84.8,110.9,23.3,13.7,8.5,33.7
1610612742,Dallas Mavericks,32.8,85.9,102.3,18.7,12.3,8.1,33.1
1610612743,Denver Nuggets,30.9,86.6,110.0,22.3,15.0,11.0,33.5
1610612765,Detroit Pistons,28.9,86.9,103.8,19.8,13.4,10.1,33.6
1610612744,Golden State Warriors,28.9,85.1,113.5,20.3,15.4,8.4,35.1
1610612745,Houston Rockets,42.3,84.2,112.4,25.1,13.8,9.0,34.5
1610612754,Indiana Pacers,24.5,86.4,105.6,19.2,13.3,9.6,32.7
1610612746,LA Clippers,26.8,85.4,109.0,25.5,14.7,10.1,33.7
1610612747,Los Angeles Lakers,29.1,88.4,108.1,23.3,15.8,10.7,35.7
1610612763,Memphis Grizzlies,26.2,82.8,99.3,21.1,15.0,9.5,31.0
1610612748,Miami Heat,30.6,85.3,103.4,19.5,14.4,9.3,34.2
1610612749,Milwaukee Bucks,24.7,83.0,106.5,23.4,13.8,8.4,31.5
1610612750,Minnesota Timberwolves,22.5,86.1,109.5,24.1,12.5,10.3,31.6
1610612740,New Orleans Pelicans,28.2,88.3,111.7,20.9,14.9,8.7,35.6
1610612752,New York Knicks,23.3,87.7,104.5,19.0,14.7,10.5,33.6
1610612760,Oklahoma City Thunder,30.4,88.1,107.9,24.2,14.0,12.5,32.6
1610612753,Orlando Magic,29.3,85.9,103.4,20.5,14.5,8.8,32.8
1610612755,Philadelphia 76ers,29.8,86.6,109.8,22.8,16.5,10.9,36.5
1610612756,Phoenix Suns,27.9,87.1,103.9,23.9,15.7,10.3,33.9
1610612757,Portland Trail Blazers,28.1,87.0,105.6,20.9,13.5,10.2,35.3
1610612758,Sacramento Kings,24.0,86.1,98.8,16.7,13.7,9.5,31.4
1610612759,San Antonio Spurs,24.1,85.4,102.7,20.9,13.1,10.4,33.9
1610612761,Toronto Raptors,33.0,87.4,111.7,21.8,13.4,9.8,34.2
1610612762,Utah Jazz,29.6,82.9,104.1,21.5,14.7,9.0,34.2
1610612764,Washington Wizards,26.5,85.6,106.6,21.8,14.6,10.0,33.1
