TEAM_ID,TEAM_NAME,FG3A,FGA
1610612737,Atlanta Hawks,37.0,91.8
1610612738,Boston Celtics,34.5,90.5
1610612751,Brooklyn Nets,36.2,89.7
1610612766,Charlotte Hornets,33.9,89.8
1610612741,Chicago Bulls,25.9,87.9
1610612739,Cleveland Cavaliers,29.1,87.6
1610612742,Dallas Mavericks,36.6,86.9
1610612743,Denver Nuggets,31.4,90.0
1610612765,Detroit Pistons,34.8,88.3
1610612744,Golden State Warriors,34.4,89.8
1610612745,Houston Rockets,45.4,87.4
1610612754,Indiana Pacers,25.4,87.0
1610612746,LA Clippers,25.8,87.5
1610612747,Los Angeles Lakers,31.0,90.5
1610612763,Memphis Grizzlies,28.9,84.4
1610612748,Miami Heat,32.4,88.0
1610612749,Milwaukee Bucks,38.2,91.1
1610612750,Minnesota Timberwolves,28.7,91.3
1610612740,New Orleans Pelicans,29.9,92.2
1610612752,New York Knicks,29.5,88.3
1610612760,Oklahoma City Thunder,32.6,94.0
1610612753,Orlando Magic,32.1,89.1
1610612755,Philadelphia 76ers,30.2,88.2
1610612756,Phoenix Suns,29.3,87.4
1610612757,Portland Trail Blazers,30.7,90.6
1610612758,Sacramento Kings,29.9,93.1
1610612759,San Antonio Spurs,25.3,88.4
1610612761,Toronto Raptors,33.8,89.1
1610612762,Utah Jazz,34.0,86.4
1610612764,Washington Wizards,33.3,90.1
