TEAM_ID,TEAM_NAME,OFF_RATING,DEF_RATING,NET_RATING,PACE,W,L,W_PCT
1610612737,Atlanta Hawks,114.3,112.1,2.2,98.68,41,31,0.569
1610612738,Boston Celtics,113.1,111.8,1.2,98.94,36,36,0.5
1610612751,Brooklyn Nets,117.3,113.1,4.2,100.27,48,24,0.667
1610612766,Charlotte Hornets,110.1,112.0,-1.9,99.0,33,39,0.458
1610612741,Chicago Bulls,110.4,111.5,-1.1,99.58,31,41,0.431
1610612739,Cleveland Cavaliers,105.2,113.5,-8.3,97.96,22,50,0.306
1610612742,Dallas Mavericks,114.6,112.3,2.3,97.94,42,30,0.583
1610612743,Denver Nuggets,116.3,111.5,4.8,97.74,47,25,0.653
1610612765,Detroit Pistons,107.6,112.2,-4.5,98.19,20,52,0.278
1610612744,Golden State Warriors,110.5,109.4,1.1,102.81,39,33,0.542
1610612745,Houston Rockets,107.0,114.4,-7.4,101.69,17,55,0.236
1610612754,Indiana Pacers,111.9,111.9,0.1,102.05,34,38,0.472
1610612746,LA Clippers,116.7,110.6,6.1,97.63,47,25,0.653
1610612747,Los Angeles Lakers,109.8,106.8,2.9,98.85,42,30,0.583
1610612763,Memphis Grizzlies,111.7,110.5,1.2,100.77,38,34,0.528
1610612748,Miami Heat,110.6,110.7,-0.1,97.09,40,32,0.556
1610612749,Milwaukee Bucks,116.5,110.7,5.8,102.85,46,26,0.639
1610612750,Minnesota Timberwolves,109.3,114.5,-5.3,101.96,23,49,0.319
1610612740,New Orleans Pelicans,113.0,113.3,-0.3,100.54,31,41,0.431
1610612752,New York Knicks,110.2,107.8,2.4,96.32,41,31,0.569
1610612760,Oklahoma City Thunder,102.8,113.4,-10.6,101.61,22,50,0.306
1610612753,Orlando Magic,104.6,113.9,-9.3,99.17,21,51,0.292
1610612755,Philadelphia 76ers,112.5,107.0,5.5,100.12,49,23,0.681
1610612756,Phoenix Suns,116.3,110.4,5.9,98.0,51,21,0.708
1610612757,Portland Trail Blazers,117.1,115.3,1.8,98.97,42,30,0.583
1610612758,Sacramento Kings,112.7,116.5,-3.8,100.71,31,41,0.431
1610612759,San Antonio Spurs,110.5,112.0,-1.5,99.45,33,39,0.458
1610612761,Toronto Raptors,111.6,112.0,-0.4,99.57,27,45,0.375
1610612762,Utah Jazz,116.5,107.5,9.0,99.37,52,20,0.722
1610612764,Washington Wizards,110.7,112.3,-1.6,104.67,34,38,0.472
